,pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,sy_dist,sy_vmag,ra,dec,rowupdate
0,TOI-4495 b,TOI-4495,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),2.56699,2.483,7.7,1735.0,0.03957,0.078,6210.0,1.309,1.247,132.214,9.531,286.3624951,37.0259902,2026-02-12
1,TOI-4511 b,TOI-4511,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),10.98090968596,2.75304932,,,,,5418.77,1.00145,,121.832,10.537,49.3052786,15.5017268,2026-04-23
2,TOI-4513 b,TOI-4513,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),9.76042253684,2.34587608,,,,,5623.93,0.796628,,102.609,10.696,18.0905179,13.7550796,2026-04-23
3,TOI-4529 b,TOI-4529,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),5.879577,1.77,4.9,511.0,,,3697.0,0.48,0.482,28.384,12.214,16.9688462,12.8809549,2026-02-05
4,TOI-4552 b,TOI-4552,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),0.30110032,1.11,1.83,1122.0,0.0056255,0.0,3258.0,0.2869,0.2619,27.2684,14.44,264.7142556,-47.6370457,2026-04-09
5,TOI-4561 b,TOI-4561,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),8.93547936706,1.77789214,,,,,5537.93,0.851957,,179.008,12.153,60.9618951,-76.0214574,2026-04-23
6,TOI-4578 b,TOI-4578,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),8.62392630369,2.26974262,,,,,5951.32,0.878735,,182.249,11.362,184.2109675,75.1402358,2026-04-23
7,TOI-4640 b,TOI-4640,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),2.68566015238,2.84326517,,,,,5743.01,1.06715,,245.089,11.63,38.205319,10.0724659,2026-04-23
8,TOI-4662 b,TOI-4662,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),4.70343764575,2.87998299,,,,,4520.41,0.69375,,111.047,12.437,57.5160311,-31.0940247,2026-04-23
9,TOI-4747 b,TOI-4747,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),5.21924158592,3.95803201,,,,,5595.08,0.988751,,304.615,12.442,86.427665,-45.0292291,2026-04-23
10,TOI-4898 b,TOI-4898,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),2.76520470167,3.7197954,,,,,4201.57,0.639344,,98.5958,13.62,197.3416711,-32.8294537,2026-04-23
11,TOI-3862 b,TOI-3862,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),1.55745774,5.53,53.7,1539.0,0.02539,0.0232,5300.0,0.92,0.9,249.02,12.351,185.9005633,50.5446246,2026-03-19
12,TOI-3896 b,TOI-3896,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),4.37730369667,3.14949237,,,,,5110.91,0.747752,,181.653,12.43,187.9302395,63.9085462,2026-04-23
13,TOI-4029 b,TOI-4029,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),5.88498234631,6.73756618,,,,,5662.53,1.17834,,274.436,11.554,239.2337189,16.9802854,2026-04-23
14,TOI-4030 b,TOI-4030,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),2.50900199461,5.8462559,,,,,5640.37,0.991737,,571.615,13.862,277.6228367,56.7704522,2026-04-23
15,TOI-4156 b,TOI-4156,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),4.46189034133,2.53823825,,,,,5971.64,1.03963,,213.719,11.504,230.7808336,76.3318816,2026-04-23
16,TOI-2654 b,TOI-2654,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),2.96760425926,7.94454164,,,,,4594.08,0.756095,,248.964,14.131,52.9815377,-47.9946912,2026-04-23
17,TOI-2431 b,TOI-2431,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),0.22419578,1.534,6.2,2063.0,0.0063,0.0,4109.0,0.651,0.661,36.0559,10.9,37.7652989,8.3816255,2026-04-09
18,TOI-2453 b,TOI-2453,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),4.44143463188,3.24380341,,,,,3720.23,0.502498,,81.9043,14.415,74.8374845,12.9363528,2026-04-23
19,TOI-2518 b,TOI-2518,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),6.89797425216,2.26838675,,,,,5751.2,0.993374,,160.825,10.954,105.4448495,-34.9196867,2026-04-23
20,TOI-1814 b,TOI-1814,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),6.36861010462,5.18536642,,,,,4872.84,2.3895,,362.522,11.182,236.8168817,77.2326429,2026-04-23
21,TOI-1839 b,TOI-1839,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),1.42378440907,2.21895097,,,,,5315.91,0.848099,,116.086,10.9,196.8331106,5.8520458,2026-04-23
22,TOI-1873 b,TOI-1873,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),7.00572708834,2.86356397,,,,,5597.99,0.971675,,182.014,11.215,212.5684755,84.3718582,2026-04-23
23,TOI-2071 b,TOI-2071,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),5.67395386982,2.56484195,,,,,5755.41,1.00286,,231.311,11.541,256.6011813,57.6610327,2026-04-23
24,TOI-2092 b,TOI-2092,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),4.30325528074,2.94892961,,,,,5842.06,1.0519,,176.759,11.295,212.5474866,45.5638685,2026-04-23
25,TOI-2094 b,TOI-2094,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),18.793193,1.9,,276.0,0.136,,3435.0,0.384,0.425,50.0248,14.409,254.1425333,70.0273157,2026-03-12
26,TOI-2104 b,TOI-2104,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),5.904370457,1.52898127,,,,,4856.13,0.723757,,76.7418,10.838,151.6122146,83.0878397,2026-04-23
27,TOI-2133 b,TOI-2133,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),3.8266472,2.37,,798.0,0.041,,4250.0,0.62,0.644,75.1973,12.008,261.2438308,32.7983974,2026-02-26
28,TOI-2200 b,TOI-2200,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),2.93602836512,6.96310517,,,,,5036.17,0.826247,,251.245,13.085,98.7835071,-72.4567778,2026-04-23
